Alpha,Cd
-25.0,0.30731
-24.0,0.29517
-23.0,0.28482
-22.0,0.27681
-21.0,0.25576
-20.0,0.2435
-19.0,0.23077
-18.0,0.21938
-17.0,0.209
-16.0,0.18942
-15.0,0.17645
-14.0,0.16525
-13.0,0.14875
-12.0,0.13419
-11.0,0.12348
-10.0,0.1073
-9.0,0.09643
-8.0,0.09099
-7.0,0.07135
-6.0,0.04841
-5.0,0.02523
-4.0,0.01889
-3.0,0.01613
-2.0,0.01306
-1.0,0.01073
0.0,0.01029
1.0,0.01042
2.0,0.0107
3.0,0.01111
4.0,0.01182
5.0,0.01309
6.0,0.01459
7.0,0.01627
8.0,0.01791
9.0,0.01965
10.0,0.02314
11.0,0.02797
12.0,0.03429
13.0,0.04579
14.0,0.06111
15.0,0.0784
16.0,0.09618
17.0,0.11524
18.0,0.13741
19.0,0.16828
20.0,0.23664
