Alpha,Cl
-25.0,-0.8274
-24.0,-0.7878
-23.0,-0.7483
-22.0,-0.7087
-21.0,-0.6665
-20.0,-0.6286
-19.0,-0.5872
-18.0,-0.5463
-17.0,-0.5083
-16.0,-0.4744
-15.0,-0.4423
-14.0,-0.4092
-13.0,-0.3803
-12.0,-0.3616
-11.0,-0.3423
-10.0,-0.3234
-9.0,-0.3441
-8.0,-0.2998
-7.0,-0.2998
-5.0,-0.1535
-4.0,-0.0421
-3.0,0.0744
-2.0,0.1941
-1.0,0.3118
0.0,0.4251
1.0,0.567
2.0,0.6999
3.0,0.7977
5.0,0.9976
6.0,1.1032
7.0,1.2036
8.0,1.2779
9.0,1.3328
10.0,1.3863
11.0,1.3963
12.0,1.393
13.0,1.3561
14.0,1.3028
15.0,1.2498
16.0,1.204
17.0,1.1601
18.0,1.1154
19.0,1.0744
20.0,1.0802
21.0,1.1031
22.0,0.7317
23.0,0.7429
24.0,0.753
25.0,0.7675
26.0,0.781
27.0,0.7915
28.0,0.801
29.0,0.813
30.0,1.4063
