Alpha,Cd
-22.0,0.20623
-21.0,0.25626
-20.0,0.24009
-19.0,0.22861
-18.0,0.21609
-17.0,0.20288
-16.0,0.14615
-15.0,0.17337
-14.0,0.15727
-13.0,0.14513
-12.0,0.12944
-11.0,0.11316
-10.0,0.09765
-9.0,0.08473
-8.0,0.04723
-7.0,0.02658
-6.0,0.01846
-5.0,0.01421
-4.0,0.01124
-3.0,0.01017
-1.0,0.0083
1.0,0.00686
2.0,0.00721
3.0,0.00781
4.0,0.00883
5.0,0.0101
6.0,0.01116
7.0,0.01223
8.0,0.0135
9.0,0.0164
10.0,0.01916
11.0,0.02439
12.0,0.03027
13.0,0.03998
14.0,0.05526
15.0,0.07262
16.0,0.0909
17.0,0.11132
18.0,0.13287
19.0,0.15585
20.0,0.18247
21.0,0.23766
22.0,0.21998
23.0,0.23586
24.0,0.24993
25.0,0.26173
26.0,0.27811
27.0,0.29196
28.0,0.30603
29.0,0.31754
30.0,0.33326
