Alpha,Cl
-25.0,-0.4696
-24.0,-0.4469
-23.0,-0.4229
-22.0,-0.4
-20.0,-0.351
-19.0,-0.3267
-18.0,-0.5531
-17.0,-0.5175
-16.0,-0.4869
-15.0,-0.4632
-14.0,-0.4437
-13.0,-0.4223
-12.0,-0.418
-11.0,-0.3984
-10.0,-0.3922
-9.0,-0.3532
-8.0,-0.4995
-7.0,-0.4058
-6.0,-0.298
-5.0,-0.1821
-4.0,-0.0607
-3.0,0.0648
-2.0,0.1892
-1.0,0.3131
0.0,0.4348
1.0,0.5537
2.0,0.6603
3.0,0.8031
4.0,0.9222
5.0,1.0365
6.0,1.1485
7.0,1.2361
8.0,1.3233
9.0,1.3897
10.0,1.4568
11.0,1.5031
12.0,1.5262
13.0,1.5097
14.0,1.4617
15.0,1.3943
16.0,1.3242
17.0,1.2646
18.0,1.2134
19.0,1.1777
20.0,1.1626
21.0,1.156
22.0,1.1517
23.0,1.1733
24.0,1.2028
25.0,1.2372
26.0,1.2726
27.0,1.308
28.0,0.8043
29.0,1.3754
30.0,1.4098
