Alpha,Cl
-22.0,-0.3869
-21.0,-0.6377
-20.0,-0.6079
-19.0,-0.5711
-18.0,-0.5364
-17.0,-0.504
-16.0,-0.2704
-15.0,-0.4531
-14.0,-0.4306
-12.0,-0.3925
-11.0,-0.3816
-10.0,-0.3839
-8.0,-0.393
-7.0,-0.3366
-6.0,-0.2414
-5.0,-0.1397
-4.0,-0.0366
-3.0,0.0711
-2.0,0.1798
-1.0,0.2858
0.0,0.3827
1.0,0.5467
2.0,0.6461
3.0,0.7425
4.0,0.8345
5.0,0.9263
6.0,1.0237
7.0,1.1209
8.0,1.2142
9.0,1.2848
10.0,1.346
11.0,1.3814
12.0,1.4198
13.0,1.4319
14.0,1.4068
15.0,1.3876
16.0,1.3657
17.0,1.3343
18.0,1.3019
19.0,1.2714
20.0,1.2413
21.0,1.2089
22.0,1.069
23.0,1.097
24.0,1.1248
25.0,0.7304
26.0,1.178
27.0,1.2071
28.0,1.2348
29.0,1.2605
30.0,1.2895
