Alpha,Cd
-25.0,0.26317
-24.0,0.24866
-23.0,0.23552
-22.0,0.22688
-20.0,0.19801
-19.0,0.18658
-18.0,0.17889
-17.0,0.16449
-16.0,0.15613
-15.0,0.1446
-14.0,0.14475
-13.0,0.12769
-12.0,0.12312
-11.0,0.12196
-10.0,0.12
-9.0,0.1124
-8.0,0.10087
-7.0,0.0928
-6.0,0.07586
-5.0,0.0517
-4.0,0.03156
-3.0,0.02402
-2.0,0.01903
-1.0,0.01575
0.0,0.01374
1.0,0.01385
2.0,0.01399
3.0,0.01471
4.0,0.01629
5.0,0.01834
6.0,0.02047
7.0,0.02324
8.0,0.02671
9.0,0.03237
10.0,0.04138
11.0,0.05409
12.0,0.07259
13.0,0.09717
14.0,0.13425
15.0,0.16397
16.0,0.18323
17.0,0.21311
18.0,0.23642
19.0,0.25756
20.0,0.28256
21.0,0.30988
22.0,0.32076
23.0,0.3421
24.0,0.35635
25.0,0.37306
26.0,0.39331
27.0,0.40628
28.0,0.42214
29.0,0.45157
30.0,0.45582
