Alpha,Cl
-25.0,-0.4591
-24.0,-0.4473
-22.0,-0.6982
-21.0,-0.6623
-20.0,-0.6258
-19.0,-0.5943
-18.0,-0.5709
-17.0,-0.5516
-16.0,-0.5296
-15.0,-0.5749
-14.0,-0.9448
-13.0,-1.0959
-12.0,-1.0205
-11.0,-0.9077
-10.0,-0.7692
-9.0,-0.6404
-8.0,-0.5099
-7.0,-0.4095
-6.0,-0.2974
-5.0,-0.1795
-4.0,-0.061
-3.0,0.0602
-2.0,0.1805
-1.0,0.2999
1.0,0.5313
2.0,0.6437
3.0,0.7538
4.0,0.8849
5.0,1.0051
6.0,1.1024
7.0,1.2034
8.0,1.2937
9.0,1.3912
10.0,1.4766
11.0,1.5504
12.0,1.6018
13.0,1.6553
14.0,1.6882
15.0,1.6983
16.0,1.6794
17.0,1.6196
18.0,1.5311
19.0,1.4407
20.0,1.3713
21.0,1.3197
22.0,1.2849
23.0,1.2685
24.0,1.2667
25.0,1.2574
27.0,1.2559
28.0,1.2886
30.0,0.8023
