Alpha,Cl
-25.0,-0.4865
-24.0,-0.4624
-23.0,-0.7872
-22.0,-0.7441
-21.0,-0.6994
-20.0,-0.6553
-19.0,-0.6109
-18.0,-0.5691
-17.0,-0.5306
-16.0,-0.4965
-15.0,-0.4637
-14.0,-0.4352
-13.0,-0.4091
-12.0,-0.3959
-11.0,-0.3914
-10.0,-0.36
-8.0,-0.3769
-7.0,-0.3825
-6.0,-0.3316
-5.0,-0.209
-4.0,-0.0749
-3.0,0.0618
-2.0,0.1983
-1.0,0.3321
0.0,0.4633
1.0,0.5865
2.0,0.7165
3.0,0.8433
4.0,0.9925
5.0,1.118
6.0,1.2149
7.0,1.322
8.0,1.3992
9.0,1.4848
10.0,1.5562
11.0,1.5782
12.0,1.5432
13.0,1.4706
14.0,1.3864
15.0,1.3072
16.0,1.2435
17.0,1.1943
18.0,1.1709
19.0,1.162
20.0,1.1645
21.0,1.1805
22.0,1.2016
23.0,1.2354
24.0,1.2724
25.0,1.3135
26.0,1.3531
27.0,1.3932
28.0,1.431
29.0,1.4688
30.0,1.5059
