Alpha,Cl
-25.0,-0.4523
-24.0,-0.4317
-23.0,-0.41
-22.0,-0.3935
-21.0,-0.3702
-20.0,-0.3458
-19.0,-0.3247
-18.0,-0.3068
-17.0,-0.5248
-15.0,-1.1458
-14.0,-1.1824
-13.0,-1.0694
-12.0,-0.929
-11.0,-0.7963
-10.0,-0.6814
-9.0,-0.5979
-8.0,-0.4926
-7.0,-0.3859
-6.0,-0.2768
-5.0,-0.1666
-4.0,-0.0527
-3.0,0.0621
-2.0,0.1773
-1.0,0.292
0.0,0.4039
1.0,0.5149
2.0,0.6155
3.0,0.7488
4.0,0.8603
5.0,0.9646
6.0,1.0691
7.0,1.16
8.0,1.2534
9.0,1.3297
10.0,1.4098
11.0,1.4735
12.0,1.5352
13.0,1.5827
14.0,1.6111
15.0,1.5812
16.0,1.5672
17.0,1.5369
18.0,1.4804
19.0,1.4147
20.0,1.3597
21.0,1.3189
22.0,1.2894
23.0,1.2658
24.0,1.2546
25.0,1.2555
27.0,0.7566
28.0,0.7659
29.0,0.7767
30.0,0.7829
