Alpha,Cd
-13.0,0.14274
-12.0,0.12857
-11.0,0.11622
-10.0,0.0995
-9.0,0.08286
-8.0,0.03502
-7.0,0.02185
-6.0,0.01611
-5.0,0.0124
-4.0,0.0103
-3.0,0.00924
-2.0,0.0086
0.0,0.00717
1.0,0.00606
2.0,0.0066
3.0,0.00737
4.0,0.00856
5.0,0.0095
6.0,0.01032
7.0,0.01142
8.0,0.01387
9.0,0.01639
10.0,0.02073
11.0,0.02578
12.0,0.03381
13.0,0.04518
14.0,0.06109
15.0,0.0821
16.0,0.10601
17.0,0.12968
18.0,0.15194
19.0,0.17613
20.0,0.20392
21.0,0.23776
22.0,0.27545
23.0,0.23914
24.0,0.25407
25.0,0.26855
26.0,0.28067
27.0,0.29653
28.0,0.31213
29.0,0.32963
30.0,0.34285
