Alpha,Cd
-21.0,0.26702
-20.0,0.2534
-19.0,0.23971
-18.0,0.22854
-17.0,0.21722
-16.0,0.19602
-15.0,0.18247
-14.0,0.16737
-13.0,0.15396
-12.0,0.13996
-11.0,0.13126
-10.0,0.11358
-9.0,0.10441
-8.0,0.09819
-7.0,0.08087
-6.0,0.05791
-5.0,0.03108
-4.0,0.02113
-3.0,0.01735
-2.0,0.01458
-1.0,0.0121
0.0,0.01074
1.0,0.01095
2.0,0.01126
3.0,0.01186
4.0,0.01304
5.0,0.01462
6.0,0.01638
7.0,0.01836
8.0,0.02049
9.0,0.02392
10.0,0.03051
11.0,0.03884
12.0,0.05141
13.0,0.07035
14.0,0.09146
15.0,0.1138
16.0,0.13772
17.0,0.16944
18.0,0.20859
19.0,0.23499
21.0,0.28426
22.0,0.29937
23.0,0.31807
24.0,0.33354
25.0,0.35118
26.0,0.36495
27.0,0.37724
28.0,0.39011
29.0,0.41175
30.0,0.41791
