Alpha,Cl
-24.0,-0.749
-23.0,-0.7134
-22.0,-0.6763
-21.0,-0.6429
-20.0,-0.6126
-19.0,-0.5722
-18.0,-0.5361
-17.0,-0.5019
-16.0,-0.48
-15.0,-0.4582
-14.0,-0.4164
-13.0,-0.4102
-12.0,-0.3773
-11.0,-0.38
-10.0,-0.349
-9.0,-0.3689
-8.0,-0.417
-7.0,-0.3446
-6.0,-0.2741
-5.0,-0.1607
-4.0,-0.0366
-3.0,0.0753
-2.0,0.1837
-1.0,0.2839
0.0,0.4529
1.0,0.5541
2.0,0.6536
3.0,0.7522
4.0,0.8468
5.0,0.9367
6.0,1.0294
7.0,1.1239
8.0,1.2108
9.0,1.2822
10.0,1.3253
11.0,1.3679
12.0,1.3871
13.0,1.3798
14.0,1.3548
15.0,1.3145
16.0,1.284
17.0,1.2584
18.0,1.2187
19.0,1.1581
20.0,1.0578
21.0,1.0552
22.0,1.0756
23.0,1.1102
24.0,1.1334
25.0,1.1641
26.0,1.1971
27.0,1.2242
28.0,1.2529
29.0,1.2813
30.0,1.3077
