Alpha,Cd
-15.0,0.19439
-14.0,0.17719
-13.0,0.16214
-12.0,0.14655
-11.0,0.13082
-10.0,0.11974
-9.0,0.10258
-8.0,0.08529
-7.0,0.07111
-6.0,0.05389
-5.0,0.03306
-4.0,0.01807
-3.0,0.013
-2.0,0.01103
-1.0,0.0101
0.0,0.00924
2.0,0.00922
3.0,0.01061
4.0,0.01209
5.0,0.01378
6.0,0.01598
7.0,0.01903
8.0,0.02656
9.0,0.03603
10.0,0.04778
11.0,0.06469
12.0,0.08705
13.0,0.11156
14.0,0.13828
15.0,0.16704
16.0,0.19726
17.0,0.2265
18.0,0.25295
19.0,0.27798
20.0,0.30029
21.0,0.32709
22.0,0.34984
23.0,0.37287
24.0,0.39585
25.0,0.4173
26.0,0.43836
28.0,0.39151
29.0,0.41214
30.0,0.43593
