Alpha,Cl
-25.0,-0.8714
-24.0,-0.8276
-23.0,-0.7827
-22.0,-0.7362
-21.0,-0.6943
-20.0,-0.6476
-19.0,-0.6023
-18.0,-0.5578
-17.0,-0.516
-16.0,-0.4827
-15.0,-0.4365
-14.0,-0.3972
-13.0,-0.3852
-12.0,-0.3346
-11.0,-0.3168
-10.0,-0.3091
-9.0,-0.3006
-8.0,-0.3081
-7.0,-0.2596
-6.0,-0.1807
-5.0,-0.1379
-4.0,-0.0458
-3.0,0.0799
-2.0,0.2056
-1.0,0.3268
0.0,0.4366
1.0,0.6257
2.0,0.7314
3.0,0.8324
4.0,0.9359
5.0,1.0407
6.0,1.1432
7.0,1.2294
8.0,1.2872
9.0,1.3175
10.0,1.3368
11.0,1.3441
12.0,1.3091
14.0,1.1959
15.0,1.144
16.0,1.0914
17.0,1.0491
18.0,1.0548
19.0,1.0796
20.0,1.1126
21.0,1.1555
22.0,1.1883
23.0,1.2302
24.0,1.2744
25.0,1.311
26.0,1.3516
27.0,1.3911
28.0,1.4296
29.0,1.4668
30.0,1.5031
