Alpha,Cl
-25.0,-0.8736
-24.0,-0.8293
-23.0,-0.7834
-22.0,-0.7381
-21.0,-0.6936
-20.0,-0.6494
-19.0,-0.603
-18.0,-0.5601
-17.0,-0.5188
-16.0,-0.4756
-15.0,-0.4353
-14.0,-0.2221
-13.0,-0.3713
-12.0,-0.3415
-11.0,-0.3169
-10.0,-0.3029
-9.0,-0.2902
-8.0,-0.2564
-7.0,-0.2269
-6.0,-0.2269
-5.0,-0.1673
-4.0,-0.0536
-3.0,0.0734
-2.0,0.2019
-1.0,0.3318
0.0,0.4565
1.0,0.5688
2.0,0.7377
3.0,0.8357
4.0,0.945
5.0,1.058
6.0,1.1726
7.0,1.2674
8.0,1.3241
9.0,1.3934
10.0,1.4169
11.0,1.4219
12.0,1.383
13.0,1.3171
14.0,1.2483
15.0,1.1879
16.0,1.1467
17.0,1.113
18.0,1.0928
19.0,1.1019
20.0,1.1277
21.0,1.1566
22.0,1.1896
23.0,1.2296
24.0,1.2715
25.0,1.3124
26.0,1.3517
27.0,1.391
28.0,1.4298
29.0,1.4689
30.0,1.5038
