Alpha,Cd
-25.0,0.33509
-24.0,0.31224
-23.0,0.29573
-22.0,0.28196
-21.0,0.27232
-20.0,0.26277
-19.0,0.23947
-18.0,0.22559
-17.0,0.21366
-16.0,0.19713
-15.0,0.18395
-14.0,0.16903
-13.0,0.16272
-12.0,0.14201
-11.0,0.13235
-10.0,0.11618
-9.0,0.10503
-8.0,0.102
-7.0,0.08934
-6.0,0.06966
-5.0,0.04095
-4.0,0.02815
-3.0,0.02166
-2.0,0.01786
-1.0,0.01439
0.0,0.01325
1.0,0.01322
2.0,0.01336
3.0,0.01381
4.0,0.01486
5.0,0.01657
6.0,0.01835
7.0,0.02055
8.0,0.0231
9.0,0.0262
10.0,0.03229
11.0,0.04084
12.0,0.05376
13.0,0.07277
14.0,0.09453
15.0,0.11808
16.0,0.14673
17.0,0.18775
18.0,0.21514
19.0,0.2394
20.0,0.26904
21.0,0.29019
22.0,0.30137
23.0,0.31862
24.0,0.33387
25.0,0.35606
26.0,0.36364
27.0,0.37695
28.0,0.40394
29.0,0.40682
30.0,0.4179
