Alpha,Cl
-13.0,-0.4
-12.0,-0.3798
-11.0,-0.3559
-10.0,-0.3531
-9.0,-0.3789
-8.0,-0.405
-7.0,-0.3595
-6.0,-0.2648
-5.0,-0.1569
-4.0,-0.0454
-3.0,0.0692
-2.0,0.1848
0.0,0.4116
1.0,0.5117
2.0,0.6762
3.0,0.7733
4.0,0.8671
5.0,0.9705
6.0,1.0776
7.0,1.1803
8.0,1.2596
9.0,1.3291
10.0,1.3716
11.0,1.4144
12.0,1.4315
13.0,1.4286
14.0,1.4023
15.0,1.3523
16.0,1.2924
17.0,1.2424
18.0,1.2132
19.0,1.1848
20.0,1.1538
21.0,1.1201
22.0,1.1074
23.0,0.7248
24.0,0.7367
25.0,0.7484
26.0,0.7624
27.0,0.7719
28.0,0.7809
29.0,0.7881
30.0,0.7972
