Alpha,Cd
-25.0,0.24284
-24.0,0.23095
-23.0,0.21891
-22.0,0.20859
-21.0,0.19593
-20.0,0.18627
-19.0,0.17642
-18.0,0.16725
-17.0,0.15746
-16.0,0.14714
-15.0,0.13568
-14.0,0.1281
-13.0,0.11979
-12.0,0.11119
-11.0,0.1161
-10.0,0.10174
-9.0,0.08882
-8.0,0.07034
-6.0,0.02081
-5.0,0.01528
-4.0,0.01177
-3.0,0.01038
-2.0,0.00955
-1.0,0.00848
0.0,0.00726
1.0,0.00699
2.0,0.0074
3.0,0.00809
4.0,0.00925
5.0,0.01047
6.0,0.01158
7.0,0.01272
8.0,0.01437
9.0,0.01773
10.0,0.02108
11.0,0.02764
12.0,0.03582
13.0,0.04891
14.0,0.06739
15.0,0.08923
16.0,0.10999
17.0,0.13192
18.0,0.15633
19.0,0.18504
20.0,0.22497
21.0,0.25825
22.0,0.22514
23.0,0.24106
24.0,0.25607
25.0,0.26879
26.0,0.28522
27.0,0.29984
28.0,0.31461
29.0,0.32691
30.0,0.34353
