Alpha,Cd
-25.0,0.34339
-24.0,0.32747
-23.0,0.31065
-22.0,0.2939
-21.0,0.27672
-20.0,0.26162
-19.0,0.24649
-18.0,0.23114
-17.0,0.21394
-16.0,0.19972
-15.0,0.18448
-14.0,0.13012
-13.0,0.15188
-12.0,0.13781
-11.0,0.12427
-10.0,0.11003
-9.0,0.09385
-8.0,0.07209
-7.0,0.05882
-6.0,0.03364
-5.0,0.01834
-4.0,0.01238
-3.0,0.01018
-2.0,0.00912
-1.0,0.00859
0.0,0.0079
1.0,0.00685
2.0,0.00749
3.0,0.00862
4.0,0.0097
5.0,0.01084
6.0,0.01191
7.0,0.0138
8.0,0.01813
9.0,0.02267
10.0,0.03132
11.0,0.04317
12.0,0.06107
13.0,0.08378
14.0,0.10837
15.0,0.13403
16.0,0.1599
17.0,0.18816
18.0,0.21786
19.0,0.24387
20.0,0.26591
21.0,0.29031
22.0,0.31503
23.0,0.33472
24.0,0.3542
25.0,0.37048
26.0,0.38435
27.0,0.40176
28.0,0.42005
29.0,0.43832
30.0,0.45353
