Alpha,Cd
-25.0,0.37755
-24.0,0.35724
-23.0,0.33718
-22.0,0.31735
-21.0,0.29747
-20.0,0.27981
-19.0,0.26217
-18.0,0.24267
-17.0,0.22639
-16.0,0.20996
-15.0,0.19307
-14.0,0.13533
-13.0,0.15904
-12.0,0.14475
-11.0,0.13063
-10.0,0.11733
-9.0,0.09818
-8.0,0.08196
-7.0,0.06749
-6.0,0.0511
-5.0,0.02929
-4.0,0.01607
-3.0,0.01137
-2.0,0.0097
-1.0,0.00912
0.0,0.00847
1.0,0.0079
2.0,0.00847
3.0,0.0096
4.0,0.01086
5.0,0.01225
6.0,0.01407
7.0,0.01794
8.0,0.02448
9.0,0.03248
10.0,0.04407
11.0,0.06163
12.0,0.08417
13.0,0.10897
14.0,0.13562
15.0,0.16406
16.0,0.19394
17.0,0.22252
18.0,0.25074
19.0,0.27587
20.0,0.2999
21.0,0.3243
22.0,0.34878
23.0,0.37155
24.0,0.39354
25.0,0.4163
26.0,0.43787
28.0,0.48251
29.0,0.51042
30.0,0.53581
