Alpha,Cl
-25.0,-0.8299
-24.0,-0.7905
-23.0,-0.7509
-22.0,-0.714
-21.0,-0.6745
-20.0,-0.6341
-19.0,-0.5962
-18.0,-0.5606
-17.0,-0.5263
-16.0,-0.5
-15.0,-0.4719
-14.0,-0.4528
-13.0,-0.4462
-12.0,-0.4406
-11.0,-0.4365
-10.0,-0.4306
-9.0,-0.5775
-8.0,-0.5056
-7.0,-0.4279
-6.0,-0.3106
-5.0,-0.1898
-4.0,-0.0648
-3.0,0.0624
-2.0,0.1887
-1.0,0.313
0.0,0.4363
1.0,0.5542
2.0,0.669
3.0,0.7787
4.0,0.933
5.0,1.0463
6.0,1.149
7.0,1.2479
8.0,1.3277
9.0,1.4144
10.0,1.4887
11.0,1.5507
12.0,1.5829
13.0,1.5487
14.0,1.5078
15.0,1.4413
16.0,1.3677
17.0,1.3041
18.0,1.2568
19.0,1.2212
20.0,1.1999
21.0,1.1911
22.0,1.1904
23.0,1.1796
24.0,1.2083
25.0,1.2382
26.0,1.2754
27.0,1.3096
28.0,1.3436
29.0,1.3757
30.0,1.4079
