Alpha,Cl
-11.0,-0.4083
-10.0,-0.4065
-9.0,-0.5331
-8.0,-0.4388
-7.0,-0.3504
-6.0,-0.2507
-5.0,-0.1472
-4.0,-0.0412
-3.0,0.0673
-2.0,0.1769
-1.0,0.2844
0.0,0.3901
1.0,0.4923
2.0,0.6445
3.0,0.7408
4.0,0.8306
5.0,0.927
6.0,1.027
7.0,1.1259
8.0,1.2156
9.0,1.2904
10.0,1.3526
11.0,1.3992
12.0,1.4392
13.0,1.4725
14.0,1.4861
15.0,1.464
16.0,1.408
17.0,1.3858
18.0,1.3536
19.0,1.3207
20.0,1.2909
21.0,1.264
22.0,1.2347
23.0,1.1822
26.0,1.1726
27.0,1.2005
28.0,1.2294
29.0,1.2567
30.0,1.2809
