Alpha,Cd
-14.0,0.1663
-13.0,0.15074
-12.0,0.13566
-11.0,0.1232
-10.0,0.11322
-9.0,0.09718
-8.0,0.09015
-7.0,0.0764
-6.0,0.05764
-5.0,0.03228
-4.0,0.02376
-3.0,0.01962
-2.0,0.01604
-1.0,0.01315
0.0,0.01254
1.0,0.01252
2.0,0.01268
3.0,0.01289
4.0,0.01335
6.0,0.01586
7.0,0.01752
8.0,0.01935
9.0,0.02118
10.0,0.02355
11.0,0.02807
12.0,0.0337
13.0,0.04316
14.0,0.05739
15.0,0.07307
16.0,0.08915
17.0,0.10457
18.0,0.12753
19.0,0.16319
20.0,0.19127
21.0,0.21102
22.0,0.22621
23.0,0.23793
24.0,0.2524
25.0,0.26497
26.0,0.33445
27.0,0.34928
28.0,0.36088
29.0,0.36867
30.0,0.37792
