Alpha,Cd
-25.0,0.34246
-24.0,0.32845
-23.0,0.31679
-22.0,0.30243
-21.0,0.27882
-20.0,0.26363
-19.0,0.24985
-18.0,0.23764
-17.0,0.21743
-16.0,0.20224
-15.0,0.18945
-14.0,0.17237
-13.0,0.16007
-12.0,0.14456
-11.0,0.13185
-10.0,0.11811
-9.0,0.11091
-8.0,0.0992
-7.0,0.08408
-6.0,0.06468
-5.0,0.03842
-4.0,0.02426
-3.0,0.01868
-2.0,0.01542
-1.0,0.01302
1.0,0.01141
2.0,0.01183
3.0,0.01272
4.0,0.01427
5.0,0.01609
6.0,0.01818
7.0,0.02058
8.0,0.02369
9.0,0.02977
10.0,0.03904
11.0,0.05114
12.0,0.06955
13.0,0.09212
14.0,0.11691
15.0,0.14335
16.0,0.17789
17.0,0.20902
18.0,0.22878
19.0,0.25314
20.0,0.27902
21.0,0.30096
22.0,0.31874
23.0,0.34051
24.0,0.35608
25.0,0.37183
26.0,0.39573
27.0,0.40637
28.0,0.4224
29.0,0.43753
30.0,0.46137
