Alpha,Cd
-25.0,0.24486
-24.0,0.2353
-23.0,0.22747
-22.0,0.20982
-21.0,0.19939
-20.0,0.1891
-19.0,0.18144
-18.0,0.17495
-17.0,0.15814
-16.0,0.14901
-15.0,0.13982
-14.0,0.13066
-13.0,0.12238
-12.0,0.11812
-11.0,0.10653
-10.0,0.09932
-9.0,0.09003
-8.0,0.06979
-7.0,0.07675
-6.0,0.05233
-5.0,0.02685
-4.0,0.01977
-3.0,0.01648
-2.0,0.0138
-1.0,0.01133
0.0,0.01047
1.0,0.01063
2.0,0.01091
3.0,0.01138
4.0,0.01227
5.0,0.01369
6.0,0.01526
7.0,0.01702
8.0,0.01891
9.0,0.02105
10.0,0.02562
11.0,0.03169
12.0,0.04051
13.0,0.05504
15.0,0.09305
16.0,0.1127
17.0,0.1363
18.0,0.17046
19.0,0.22141
20.0,0.24498
21.0,0.2155
22.0,0.23147
23.0,0.24608
24.0,0.26022
25.0,0.27358
26.0,0.29053
27.0,0.30361
28.0,0.31812
29.0,0.33129
30.0,0.34909
