Alpha,Cd
-16.0,0.02762
-15.0,0.02245
-14.0,0.01972
-13.0,0.01868
-12.0,0.01893
-11.0,0.01932
-10.0,0.01991
-9.0,0.01436
-8.0,0.01263
-7.0,0.01085
-6.0,0.00925
-5.0,0.00804
-4.0,0.00751
-3.0,0.0072
-2.0,0.00689
-1.0,0.00676
0.0,0.00624
1.0,0.00594
2.0,0.00523
4.0,0.00671
5.0,0.0072
6.0,0.00789
7.0,0.0095
8.0,0.01109
9.0,0.0136
10.0,0.01507
11.0,0.01725
12.0,0.01947
13.0,0.02266
14.0,0.02719
15.0,0.03486
16.0,0.04788
17.0,0.06021
18.0,0.077
19.0,0.09895
20.0,0.12394
21.0,0.14926
22.0,0.17414
23.0,0.19827
24.0,0.22006
25.0,0.2452
26.0,0.26081
27.0,0.28631
29.0,0.36416
30.0,0.37763
