Alpha,Cl
-25.0,-0.946
-24.0,-0.8938
-23.0,-0.8414
-22.0,-0.7891
-21.0,-0.7372
-20.0,-0.6859
-19.0,-0.6327
-18.0,-0.5837
-17.0,-0.533
-16.0,-0.4832
-15.0,-0.4361
-14.0,-0.2222
-13.0,-0.3566
-12.0,-0.32
-11.0,-0.2938
-10.0,-0.2804
-9.0,-0.2287
-8.0,-0.1768
-7.0,-0.158
-6.0,-0.1547
-5.0,-0.131
-4.0,-0.0537
-3.0,0.0771
-2.0,0.2166
-1.0,0.3586
0.0,0.4946
1.0,0.6209
2.0,0.7776
3.0,0.885
4.0,1.0006
5.0,1.1155
6.0,1.2308
7.0,1.3152
8.0,1.3712
9.0,1.4252
10.0,1.4466
11.0,1.4135
12.0,1.3413
13.0,1.2639
14.0,1.1951
15.0,1.1415
16.0,1.1089
17.0,1.1052
18.0,1.1207
19.0,1.1559
20.0,1.197
21.0,1.2411
22.0,1.2858
23.0,1.3345
24.0,1.3837
25.0,1.433
26.0,1.4814
28.0,1.573
29.0,1.62
30.0,1.6633
