Alpha,Cd
-25.0,0.3763
-24.0,0.357
-23.0,0.33779
-22.0,0.32226
-20.0,0.28091
-19.0,0.26333
-18.0,0.2461
-17.0,0.2316
-16.0,0.21632
-15.0,0.195
-14.0,0.18077
-13.0,0.16352
-12.0,0.15074
-11.0,0.13531
-10.0,0.12773
-9.0,0.11346
-8.0,0.10122
-7.0,0.08082
-6.0,0.06452
-5.0,0.04045
-4.0,0.02665
-3.0,0.0186
-2.0,0.01492
-1.0,0.0128
0.0,0.01106
1.0,0.01084
2.0,0.0116
3.0,0.01303
4.0,0.01488
5.0,0.01708
6.0,0.01967
7.0,0.02331
8.0,0.02962
9.0,0.04023
10.0,0.05425
11.0,0.07283
12.0,0.09643
13.0,0.12268
14.0,0.12135
15.0,0.13487
16.0,0.15012
17.0,0.22907
18.0,0.25594
19.0,0.28053
20.0,0.30416
21.0,0.32944
22.0,0.35287
23.0,0.37491
24.0,0.39517
25.0,0.4216
26.0,0.44024
27.0,0.46309
28.0,0.48521
29.0,0.51571
30.0,0.53524
