Alpha,Cd
-25.0,0.37647
-24.0,0.3563
-23.0,0.33623
-22.0,0.31682
-21.0,0.29621
-20.0,0.27683
-19.0,0.25867
-18.0,0.24027
-17.0,0.2217
-16.0,0.20336
-15.0,0.18664
-14.0,0.16997
-13.0,0.152
-12.0,0.13697
-11.0,0.11916
-10.0,0.10275
-9.0,0.08969
-8.0,0.07371
-7.0,0.05704
-6.0,0.03883
-5.0,0.01841
-4.0,0.00997
-3.0,0.00769
-2.0,0.00725
0.0,0.00733
1.0,0.00762
2.0,0.00754
3.0,0.00696
4.0,0.00758
5.0,0.00838
7.0,0.014
8.0,0.01895
9.0,0.02465
10.0,0.03467
11.0,0.05138
12.0,0.07664
13.0,0.10244
14.0,0.12874
15.0,0.15812
16.0,0.18698
17.0,0.21536
18.0,0.24301
19.0,0.2702
20.0,0.29696
21.0,0.32242
22.0,0.3478
23.0,0.37286
25.0,0.32353
26.0,0.34455
27.0,0.36499
28.0,0.38575
29.0,0.40954
30.0,0.43176
