Alpha,Cl
-25.0,-0.9427
-24.0,-0.8919
-22.0,-0.7888
-21.0,-0.7366
-20.0,-0.6839
-19.0,-0.6348
-17.0,-0.5318
-16.0,-0.4828
-15.0,-0.4487
-14.0,-0.3931
-12.0,-0.3365
-11.0,-0.2936
-10.0,-0.2725
-9.0,-0.312
-8.0,-0.2801
-7.0,-0.2292
-6.0,-0.139
-5.0,-0.1045
-4.0,-0.0543
-3.0,0.0599
-2.0,0.2023
-1.0,0.3377
0.0,0.4553
1.0,0.6606
2.0,0.7706
3.0,0.8801
4.0,0.995
5.0,1.1072
6.0,1.1936
7.0,1.251
8.0,1.2812
9.0,1.2868
10.0,1.2569
11.0,1.1842
12.0,1.1096
13.0,1.025
14.0,1.0425
15.0,1.0337
16.0,1.0506
17.0,1.0709
18.0,1.1051
19.0,1.145
20.0,1.1892
21.0,1.243
22.0,1.2843
23.0,1.3356
24.0,1.3857
25.0,1.432
26.0,1.4803
28.0,1.5732
29.0,1.6177
30.0,1.6606
