Alpha,Cl
-22.0,-0.3888
-21.0,-0.6423
-20.0,-0.611
-19.0,-0.5734
-18.0,-0.5376
-17.0,-0.5041
-16.0,-0.2685
-15.0,-0.4503
-14.0,-0.4258
-13.0,-0.3994
-12.0,-0.3858
-11.0,-0.3728
-10.0,-0.3697
-9.0,-0.3904
-8.0,-0.3915
-7.0,-0.3363
-6.0,-0.2444
-5.0,-0.143
-4.0,-0.0382
-3.0,0.0717
-1.0,0.2905
1.0,0.5507
2.0,0.6563
3.0,0.7531
4.0,0.8454
5.0,0.9391
6.0,1.0383
7.0,1.1369
8.0,1.2308
9.0,1.2941
10.0,1.3567
11.0,1.386
12.0,1.4177
13.0,1.4184
14.0,1.3839
15.0,1.3517
16.0,1.325
17.0,1.291
18.0,1.2568
19.0,1.2235
20.0,1.1863
21.0,1.0851
22.0,0.7059
23.0,0.7123
24.0,0.7228
25.0,0.7366
26.0,0.7454
27.0,0.7547
28.0,0.7636
29.0,0.7745
30.0,0.7823
