Alpha,Cl
-25.0,-0.871
-24.0,-0.8271
-23.0,-0.7834
-22.0,-0.7388
-21.0,-0.6922
-20.0,-0.649
-19.0,-0.6034
-18.0,-0.5576
-17.0,-0.5159
-16.0,-0.4768
-15.0,-0.4397
-14.0,-0.4002
-13.0,-0.3683
-12.0,-0.3451
-11.0,-0.3226
-10.0,-0.2983
-9.0,-0.3112
-8.0,-0.248
-7.0,-0.1956
-6.0,-0.1991
-5.0,-0.1575
-4.0,-0.0459
-3.0,0.0769
-2.0,0.2042
-1.0,0.331
0.0,0.4539
1.0,0.5829
2.0,0.7353
3.0,0.8315
4.0,0.935
5.0,1.0437
6.0,1.151
7.0,1.246
8.0,1.3074
9.0,1.36
10.0,1.403
11.0,1.3922
12.0,1.3554
13.0,1.2966
14.0,1.2381
15.0,1.1883
16.0,1.1425
17.0,1.1008
18.0,1.0792
19.0,1.0939
21.0,1.1552
22.0,0.7577
23.0,0.7714
24.0,0.7826
25.0,0.798
26.0,0.8144
27.0,0.8261
28.0,0.8361
29.0,0.8488
30.0,0.8589
