Alpha,Cl
-18.0,-1.3767
-17.0,-1.4085
-16.0,-1.368
-15.0,-1.2712
-14.0,-1.1581
-13.0,-1.0496
-12.0,-0.9414
-11.0,-0.8295
-10.0,-0.7144
-9.0,-0.6008
-8.0,-0.4902
-7.0,-0.3862
-6.0,-0.2788
-5.0,-0.1675
-4.0,-0.0553
-3.0,0.0592
-1.0,0.2865
0.0,0.3989
1.0,0.5082
2.0,0.6138
3.0,0.7173
4.0,0.8421
5.0,0.9587
6.0,1.0534
7.0,1.148
8.0,1.2433
9.0,1.3345
10.0,1.4266
11.0,1.5119
12.0,1.58
13.0,1.6344
14.0,1.6923
15.0,1.74
16.0,1.7743
17.0,1.7927
18.0,1.7902
19.0,1.7537
20.0,1.7017
21.0,1.6364
22.0,1.5614
23.0,1.4924
24.0,1.4282
25.0,1.3756
26.0,1.3298
27.0,1.3401
28.0,1.331
29.0,1.3263
30.0,1.3408
