Alpha,Cd
-11.0,0.10421
-10.0,0.0889
-9.0,0.02829
-8.0,0.02205
-7.0,0.01706
-6.0,0.01345
-5.0,0.0111
-4.0,0.00968
-3.0,0.00885
-2.0,0.00838
-1.0,0.00752
0.0,0.00672
1.0,0.00584
2.0,0.00627
3.0,0.00684
4.0,0.00794
5.0,0.00891
6.0,0.00973
7.0,0.01064
8.0,0.01217
9.0,0.01462
10.0,0.0173
11.0,0.02082
12.0,0.02515
13.0,0.03055
14.0,0.03855
15.0,0.05177
16.0,0.07175
17.0,0.08918
18.0,0.10909
19.0,0.12981
20.0,0.15096
21.0,0.17301
22.0,0.19774
23.0,0.23358
26.0,0.32669
27.0,0.34043
28.0,0.35431
29.0,0.36466
30.0,0.37159
