Alpha,Cd
-25.0,0.23595
-24.0,0.21868
-23.0,0.2084
-22.0,0.26039
-21.0,0.24846
-19.0,0.21286
-17.0,0.16097
-16.0,0.03239
-15.0,0.02295
-14.0,0.01768
-13.0,0.0145
-12.0,0.01259
-11.0,0.0126
-10.0,0.01295
-9.0,0.01318
-8.0,0.01418
-7.0,0.00999
-6.0,0.00819
-5.0,0.00723
-4.0,0.00647
-3.0,0.00635
-2.0,0.00628
-1.0,0.00621
0.0,0.0061
1.0,0.00602
2.0,0.00612
3.0,0.00563
4.0,0.00588
5.0,0.00644
6.0,0.00764
7.0,0.00909
8.0,0.01102
9.0,0.01233
11.0,0.01524
12.0,0.01757
13.0,0.02082
14.0,0.02464
15.0,0.03007
16.0,0.03783
17.0,0.04936
18.0,0.06737
19.0,0.08776
20.0,0.11258
21.0,0.13928
22.0,0.16647
23.0,0.19528
24.0,0.22296
25.0,0.24708
26.0,0.2659
27.0,0.28628
28.0,0.30843
30.0,0.37757
