Alpha,Cl
-25.0,-0.9438
-24.0,-0.8929
-23.0,-0.841
-22.0,-0.7891
-20.0,-0.6848
-19.0,-0.6327
-18.0,-0.5838
-17.0,-0.5347
-16.0,-0.4835
-15.0,-0.4419
-14.0,-0.3976
-13.0,-0.3555
-12.0,-0.3203
-11.0,-0.3259
-10.0,-0.2733
-9.0,-0.3158
-8.0,-0.3
-7.0,-0.2996
-6.0,-0.2291
-5.0,-0.1565
-4.0,-0.1022
-3.0,0.0034
-2.0,0.1599
-1.0,0.3057
0.0,0.5132
1.0,0.6366
2.0,0.7555
3.0,0.8722
4.0,0.9891
5.0,1.0951
6.0,1.1864
7.0,1.2264
8.0,1.2338
9.0,1.2003
10.0,1.1196
11.0,1.0128
12.0,0.9596
13.0,0.9661
14.0,0.9897
15.0,1.0132
16.0,1.0365
17.0,1.0663
18.0,1.1013
19.0,1.1428
20.0,1.1873
21.0,1.2417
22.0,1.2903
23.0,1.334
24.0,1.3853
25.0,1.4314
26.0,1.4802
27.0,1.5288
28.0,1.5726
29.0,1.6174
