Alpha,Cd
-25.0,0.3426
-24.0,0.32652
-23.0,0.30926
-22.0,0.2943
-21.0,0.27933
-20.0,0.26099
-19.0,0.24683
-18.0,0.23192
-17.0,0.21711
-16.0,0.20142
-15.0,0.18544
-14.0,0.16914
-13.0,0.15528
-12.0,0.14003
-11.0,0.12479
-10.0,0.11218
-9.0,0.09917
-8.0,0.0829
-7.0,0.06453
-6.0,0.03978
-5.0,0.0207
-4.0,0.01468
-3.0,0.01151
-2.0,0.01024
-1.0,0.00933
0.0,0.00844
1.0,0.00755
2.0,0.00827
3.0,0.00942
4.0,0.01078
5.0,0.01213
6.0,0.01349
7.0,0.01525
8.0,0.01934
9.0,0.02501
10.0,0.03249
11.0,0.04562
12.0,0.06352
13.0,0.08567
14.0,0.1092
15.0,0.13355
16.0,0.16022
17.0,0.19055
18.0,0.22187
19.0,0.247
21.0,0.29154
22.0,0.24579
23.0,0.26372
24.0,0.28151
25.0,0.29788
26.0,0.31356
27.0,0.33383
28.0,0.35181
29.0,0.36792
30.0,0.38801
