Alpha,Cl
-15.0,-0.4411
-14.0,-0.3933
-13.0,-0.3561
-12.0,-0.3267
-11.0,-0.2956
-10.0,-0.2788
-9.0,-0.2572
-8.0,-0.1919
-7.0,-0.1321
-6.0,-0.1318
-5.0,-0.1137
-4.0,-0.0471
-3.0,0.0811
-2.0,0.2192
-1.0,0.3587
0.0,0.4928
2.0,0.7758
3.0,0.8762
4.0,0.9891
5.0,1.0974
6.0,1.2026
7.0,1.3005
8.0,1.339
9.0,1.372
10.0,1.3939
11.0,1.3725
12.0,1.3057
13.0,1.2356
14.0,1.1715
15.0,1.1209
16.0,1.0914
17.0,1.0912
18.0,1.1162
19.0,1.1523
20.0,1.1956
21.0,1.2391
22.0,1.2872
23.0,1.3356
24.0,1.3846
25.0,1.4333
26.0,1.4811
28.0,0.8905
29.0,0.904
30.0,0.9161
