Alpha,Cl
-17.0,-1.3737
-16.0,-1.3382
-15.0,-1.2716
-14.0,-1.1634
-13.0,-1.0405
-12.0,-0.923
-11.0,-0.8103
-10.0,-0.6981
-9.0,-0.5832
-8.0,-0.493
-7.0,-0.3866
-6.0,-0.2777
-5.0,-0.1666
-4.0,-0.0537
-3.0,0.0604
-2.0,0.1738
-1.0,0.2871
0.0,0.3985
1.0,0.508
2.0,0.6128
3.0,0.7123
4.0,0.8537
5.0,0.9549
6.0,1.054
7.0,1.1444
8.0,1.2413
9.0,1.3257
10.0,1.4134
11.0,1.4935
12.0,1.5612
13.0,1.6177
14.0,1.6519
15.0,1.6954
16.0,1.7243
17.0,1.7373
18.0,1.732
19.0,1.7049
20.0,1.6508
21.0,1.5768
22.0,1.4976
23.0,1.4282
24.0,1.3623
25.0,1.3144
26.0,1.3081
27.0,1.3113
28.0,1.3101
