Alpha,Cl
-23.0,-0.7338
-22.0,-0.6981
-21.0,-0.6598
-20.0,-0.6237
-19.0,-0.5903
-18.0,-0.5599
-17.0,-0.5394
-16.0,-0.5102
-15.0,-0.547
-14.0,-0.5242
-13.0,-1.0467
-12.0,-0.9925
-11.0,-0.8772
-10.0,-0.7455
-9.0,-0.6193
-8.0,-0.515
-7.0,-0.4102
-6.0,-0.2956
-5.0,-0.1785
-4.0,-0.0592
-3.0,0.0615
-2.0,0.1812
-1.0,0.3001
0.0,0.4175
1.0,0.5318
2.0,0.6407
3.0,0.7459
4.0,0.8938
5.0,1.0011
6.0,1.1027
7.0,1.1967
8.0,1.2857
9.0,1.3784
10.0,1.4557
11.0,1.5283
12.0,1.5853
13.0,1.606
14.0,1.6297
15.0,1.6243
16.0,1.5884
17.0,1.5279
18.0,1.4531
19.0,1.386
20.0,1.3328
21.0,1.2948
22.0,1.2666
23.0,1.2504
24.0,1.2316
25.0,1.1976
28.0,0.784
29.0,0.7926
30.0,0.8007
