Alpha,Cl
-25.0,-0.7833
-23.0,-0.7124
-22.0,-0.6762
-21.0,-0.6402
-20.0,-0.6109
-19.0,-0.5761
-18.0,-0.5348
-17.0,-0.5013
-16.0,-0.26
-15.0,-0.2524
-14.0,-0.2442
-13.0,-0.3999
-12.0,-0.3734
-11.0,-0.3514
-10.0,-0.3732
-9.0,-0.3366
-8.0,-0.4166
-7.0,-0.4677
-6.0,-0.3732
-5.0,-0.2689
-4.0,-0.1315
-3.0,0.0171
-2.0,0.157
-1.0,0.2748
0.0,0.4406
1.0,0.5424
2.0,0.6466
3.0,0.7475
4.0,0.8456
5.0,0.941
6.0,1.034
7.0,1.1267
8.0,1.2159
9.0,1.279
10.0,1.3147
11.0,1.3416
12.0,1.3616
13.0,1.3457
14.0,1.3118
15.0,1.2832
16.0,1.2604
17.0,1.2355
18.0,1.1797
19.0,1.0146
20.0,1.035
21.0,0.6887
22.0,0.6985
23.0,0.7123
24.0,0.7155
25.0,0.7343
26.0,0.7415
27.0,0.7494
28.0,0.7646
29.0,0.7751
30.0,0.7769
