Alpha,Cd
-25.0,0.31455
-23.0,0.28174
-22.0,0.26955
-21.0,0.25867
-20.0,0.2503
-19.0,0.2337
-18.0,0.21771
-17.0,0.20475
-16.0,0.1492
-15.0,0.14076
-14.0,0.13558
-13.0,0.15298
-12.0,0.13695
-11.0,0.12448
-10.0,0.11494
-9.0,0.09878
-8.0,0.09274
-7.0,0.0802
-6.0,0.06003
-5.0,0.03398
-4.0,0.02435
-3.0,0.01986
-2.0,0.01622
-1.0,0.01327
0.0,0.01277
1.0,0.01269
2.0,0.01276
3.0,0.01303
4.0,0.01358
5.0,0.01479
6.0,0.01631
7.0,0.01801
8.0,0.02005
9.0,0.02192
10.0,0.02486
11.0,0.03008
12.0,0.0368
13.0,0.04844
14.0,0.06424
15.0,0.0813
16.0,0.09853
17.0,0.11691
18.0,0.14469
19.0,0.2191
20.0,0.23871
21.0,0.21339
22.0,0.22895
23.0,0.24077
24.0,0.25551
25.0,0.26832
26.0,0.2833
27.0,0.29672
28.0,0.30978
29.0,0.32633
30.0,0.33857
