0,,,,,,,,,,
10,0.02810,0.02355,0.02176,0.02082,0.01836,0.01803,0.01735,0.01507,0.01410,0.01324
11,0.03194,0.02807,0.02633,0.02561,0.02282,0.02124,0.02005,0.01725,0.01549,0.01456
12,0.03759,0.03370,0.03161,0.03039,0.02762,0.02586,0.02359,0.01947,0.01743,0.01640
13,0.04632,0.04316,0.04106,0.03967,0.03538,0.03176,0.02958,0.02266,0.02022,0.01917
14,0.06150,0.05739,0.05417,0.05212,0.04839,0.04056,0.03823,0.02719,0.02490,0.02202
15,0.07652,0.07307,0.06980,0.06911,0.06288,0.05512,0.04825,0.03486,0.02951,0.02593
16,0.09244,0.08915,0.08679,0.08569,0.07943,0.07563,0.06269,0.04788,0.03595,0.03140
17,0.11481,0.10457,0.10406,0.10262,0.09851,0.09388,0.08156,0.06021,0.04473,0.03899
18,0.16894,0.12753,0.12296,0.12268,0.11882,0.11421,0.10375,0.07700,0.05670,0.04986
19,0.22306,0.16319,0.14920,0.14788,0.13989,0.13514,0.12699,0.09895,0.07262,0.06622
20,0.20645,0.19127,0.23088,0.19097,0.16225,0.15650,0.14945,0.12394,0.09357,0.08624
,,,,,,,,,,
0.2,,,,,,,,,,
alpha,100000,150000,200000,250000,500000,750000,1000000,2000000,3000000,4000000
-10,0.11516,0.11494,0.10730,0.10580,0.09765,0.09452,0.03079,0.02088,0.01564,0.01295
-9,0.10299,0.09878,0.09643,0.09590,0.08473,0.07497,0.02700,0.01583,0.01642,0.01318
-8,0.09785,0.09274,0.09099,0.08440,0.04723,0.02785,0.02130,0.01382,0.01185,0.01418
-7,0.08736,0.08020,0.07135,0.06230,0.02658,0.01891,0.01801,0.01160,0.00969,0.00999
-6,0.07734,0.06003,0.04841,0.03413,0.01846,0.01436,0.01466,0.00976,0.00833,0.00819
-5,0.06378,0.03398,0.02523,0.02111,0.01421,0.01161,0.01190,0.00828,0.00738,0.00723
-4,0.03342,0.02435,0.01889,0.01670,0.01124,0.00993,0.00913,0.00758,0.00686,0.00647
