0,,,,,,,,,,
7,1.1142,1.1108,1.1085,1.1085,1.1209,1.1317,1.1390,1.1423,1.1444,1.1480
8,1.2009,1.1989,1.1955,1.1945,1.2142,1.2209,1.2220,1.2340,1.2413,1.2433
9,1.2775,1.2685,1.2674,1.2730,1.2848,1.2953,1.3048,1.3113,1.3257,1.3345
10,1.3186,1.3133,1.3171,1.3209,1.3460,1.3483,1.3579,1.3968,1.4134,1.4266
11,1.3410,1.3433,1.3504,1.3577,1.3814,1.4013,1.4181,1.4619,1.4935,1.5119
12,1.3613,1.3697,1.3842,1.3944,1.4198,1.4396,1.4684,1.5275,1.5612,1.5800
13,1.3524,1.3662,1.3820,1.3929,1.4319,1.4697,1.4934,1.5814,1.6177,1.6344
14,1.3070,1.3354,1.3602,1.3767,1.4068,1.4784,1.5006,1.6226,1.6519,1.6923
15,1.2844,1.3100,1.3346,1.3393,1.3876,1.4493,1.5072,1.6353,1.6954,1.7400
16,1.2675,1.2878,1.3089,1.3150,1.3657,1.3939,1.4899,1.6098,1.7243,1.7743
17,1.2232,1.2754,1.2860,1.2953,1.3343,1.3683,1.4528,1.6070,1.7373,1.7927
18,1.1132,1.2346,1.2589,1.2657,1.3019,1.3354,1.4035,1.5798,1.7320,1.7902
19,1.0031,1.1538,1.2100,1.2212,1.2714,1.3032,1.3544,1.5266,1.7049,1.7537
20,0.6853,0.6885,1.0305,1.1274,1.2413,1.2744,1.3161,1.4618,1.6508,1.7017
,,,,,,,,,,
0.2,,,,,,,,,,
alpha,100000,150000,200000,250000,500000,750000,1000000,2000000,3000000,4000000
-10,-0.3381,-0.3732,-0.3510,-0.3490,-0.3697,-0.3785,-0.6503,-0.6814,-0.7165,-0.7342
-9,-0.3365,-0.3366,-0.3409,-0.3689,-0.3904,-0.4171,-0.5383,-0.5979,-0.5977,-0.6152
-8,-0.4080,-0.4166,-0.4353,-0.4170,-0.3915,-0.4252,-0.4564,-0.4926,-0.5031,-0.4938
-7,-0.4235,-0.4677,-0.3941,-0.3446,-0.3363,-0.3563,-0.3598,-0.3859,-0.3952,-0.3947
-6,-0.4872,-0.3732,-0.3020,-0.2741,-0.2444,-0.2575,-0.2575,-0.2768,-0.2842,-0.2855
-5,-0.4127,-0.2689,-0.2012,-0.1607,-0.1430,-0.1513,-0.1520,-0.1666,-0.1708,-0.1718
-4,-0.2577,-0.1315,-0.0627,-0.0366,-0.0382,-0.0431,-0.0464,-0.0527,-0.0556,-0.0573
-3,-0.1067,0.0171,0.0635,0.0753,0.0717,0.0680,0.0659,0.0621,0.0609,0.0597
-2,0.0355,0.1570,0.1805,0.1837,0.1811,0.1802,0.1789,0.1773,0.1765,0.1757
-1,0.2347,0.2748,0.2736,0.2839,0.2905,0.2908,0.2918,0.2920,0.2917,0.2914
0,0.3752,0.4406,0.4509,0.4529,0.4206,0.3995,0.4015,0.4039,0.4055,0.4056
1,0.4987,0.5424,0.5518,0.5541,0.5507,0.5005,0.5023,0.5149,0.5168,0.5169
2,0.6214,0.6466,0.6516,0.6536,0.6563,0.6582,0.6504,0.6155,0.6227,0.6247
3,0.7297,0.7475,0.7512,0.7522,0.7531,0.7553,0.7569,0.7488,0.7246,0.7304
4,0.8347,0.8456,0.8470,0.8468,0.8454,0.8462,0.8492,0.8603,0.8681,0.8575
5,0.9384,0.9410,0.9388,0.9367,0.9391,0.9459,0.9516,0.9646,0.9716,0.9754
