x,Curve1
3.0261,155.289
4.9337,152.577
6.7637,150.557
8.547,149.061
10.6064,147.764
12.7883,146.713
14.824,145.924
17.0824,145.104
19.2793,144.346
22.0828,143.602
24.7711,142.858
27.5131,142.191
30.1013,141.648
32.5897,141.074
35.1088,140.546
37.5664,140.079
40.1547,139.505
42.7582,139.069
46.5136,138.4
49.8236,137.856
