x,Curve1
2.9893,148.04
4.5824,145.097
6.4132,142.43
8.6354,139.917
10.8338,138.035
13.1468,136.569
15.2288,135.626
18.0942,134.497
21.1283,133.522
23.8398,132.639
26.4204,132.034
29.0164,131.398
31.5509,130.84
33.8779,130.42
36.5199,129.876
38.8393,129.41
41.4966,128.913
43.5855,128.585
46.6728,128.026
49.9135,127.573
