Alpha,Cd
-25.0,0.32218
-23.0,0.28694
-22.0,0.27417
-21.0,0.26373
-20.0,0.25502
-19.0,0.2348
-18.0,0.22072
-17.0,0.20781
-16.0,0.19487
-15.0,0.1799
-14.0,0.16599
-13.0,0.15716
-12.0,0.13905
-11.0,0.127
-10.0,0.11774
-9.0,0.1013
-8.0,0.09684
-6.0,0.06409
-5.0,0.03709
-4.0,0.02543
-3.0,0.02028
-2.0,0.01724
-1.0,0.01362
0.0,0.01287
1.0,0.01287
2.0,0.01302
3.0,0.0133
4.0,0.01403
5.0,0.01547
6.0,0.01709
7.0,0.01897
8.0,0.02116
9.0,0.02331
10.0,0.02755
11.0,0.03395
12.0,0.04302
13.0,0.05806
14.0,0.07624
15.0,0.09524
16.0,0.11598
17.0,0.14203
18.0,0.20021
19.0,0.22829
20.0,0.26082
21.0,0.27688
22.0,0.28971
23.0,0.24601
24.0,0.26122
25.0,0.27466
26.0,0.29063
27.0,0.30452
28.0,0.31815
29.0,0.33608
30.0,0.34864
