Alpha,Cd
-17.0,0.02755
-16.0,0.02266
-15.0,0.01953
-14.0,0.01605
-13.0,0.01444
-12.0,0.01434
-11.0,0.0147
-10.0,0.01501
-9.0,0.01601
-8.0,0.01094
-7.0,0.00923
-6.0,0.00807
-5.0,0.00723
-4.0,0.00682
-3.0,0.00672
-2.0,0.00649
-1.0,0.00639
0.0,0.0062
1.0,0.00597
2.0,0.00568
3.0,0.00568
4.0,0.0062
5.0,0.00664
6.0,0.00751
7.0,0.00925
8.0,0.0105
9.0,0.01258
10.0,0.0141
11.0,0.01549
12.0,0.01743
13.0,0.02022
14.0,0.0249
15.0,0.02951
16.0,0.03595
17.0,0.04473
18.0,0.0567
19.0,0.07262
20.0,0.09357
21.0,0.11889
22.0,0.14666
23.0,0.1748
24.0,0.20541
25.0,0.2352
26.0,0.25544
27.0,0.27327
28.0,0.29362
