Alpha,Cd
-25.0,0.24074
-24.0,0.22921
-23.0,0.21741
-22.0,0.20395
-21.0,0.19345
-19.0,0.23045
-18.0,0.21477
-17.0,0.19875
-16.0,0.18138
-15.0,0.16222
-14.0,0.14555
-12.0,0.0406
-10.0,0.02637
-9.0,0.02487
-8.0,0.0163
-7.0,0.01337
-6.0,0.01072
-5.0,0.00878
-4.0,0.00774
-3.0,0.00749
-2.0,0.00704
-1.0,0.00689
0.0,0.00647
1.0,0.00623
2.0,0.00563
3.0,0.00642
4.0,0.00694
5.0,0.00746
6.0,0.00832
7.0,0.01038
8.0,0.01209
9.0,0.01477
10.0,0.017
11.0,0.02034
12.0,0.02479
13.0,0.03166
14.0,0.0429
15.0,0.06353
16.0,0.08531
17.0,0.10933
18.0,0.13417
19.0,0.15823
20.0,0.18232
21.0,0.2069
22.0,0.23288
23.0,0.25907
25.0,0.26586
26.0,0.28136
27.0,0.29652
28.0,0.31148
29.0,0.32395
30.0,0.3413
