Alpha,Cl
-18.0,-0.3036
-17.0,-0.2761
-16.0,-0.2544
-15.0,-0.2386
-14.0,-0.41
-13.0,-0.3862
-12.0,-0.3621
-11.0,-0.3382
-10.0,-0.3274
-9.0,-0.3381
-8.0,-0.3051
-7.0,-0.3407
-6.0,-0.2659
-5.0,-0.1647
-4.0,-0.0489
-3.0,0.0712
-2.0,0.1917
-1.0,0.3128
0.0,0.43
1.0,0.5329
2.0,0.7028
3.0,0.7994
4.0,0.8991
5.0,1.0087
6.0,1.1181
7.0,1.2231
8.0,1.2868
9.0,1.3578
10.0,1.3921
11.0,1.4204
12.0,1.406
13.0,1.3742
14.0,1.3241
15.0,1.2718
16.0,1.2251
17.0,1.186
18.0,1.1534
19.0,1.1261
20.0,1.1076
21.0,1.1118
22.0,1.1378
23.0,1.169
24.0,1.204
25.0,1.2392
26.0,0.7824
27.0,0.7942
28.0,0.8038
29.0,0.8119
30.0,0.8215
