Alpha,Cl
-25.0,-0.4589
-24.0,-0.4375
-23.0,-0.4149
-22.0,-0.3971
-21.0,-0.3736
-19.0,-0.5813
-18.0,-0.5492
-17.0,-0.5185
-16.0,-0.4943
-15.0,-0.4791
-14.0,-0.4635
-12.0,-0.8703
-10.0,-0.6801
-9.0,-0.5753
-8.0,-0.5057
-7.0,-0.3974
-6.0,-0.2864
-5.0,-0.173
-4.0,-0.0561
-3.0,0.0634
-2.0,0.1817
-1.0,0.3004
0.0,0.416
1.0,0.5304
2.0,0.6333
3.0,0.7699
4.0,0.8851
5.0,0.9933
6.0,1.1005
7.0,1.1906
8.0,1.2853
9.0,1.3557
10.0,1.43
11.0,1.4902
12.0,1.5414
13.0,1.5714
14.0,1.5666
15.0,1.4986
16.0,1.4438
17.0,1.3835
18.0,1.3258
19.0,1.2831
20.0,1.2514
21.0,1.227
22.0,1.2071
23.0,1.1976
25.0,0.7501
26.0,0.7603
27.0,0.7706
28.0,0.7806
29.0,0.792
30.0,0.7983
