Alpha,Cl
-14.0,-0.4104
-13.0,-0.4034
-12.0,-0.3652
-11.0,-0.3703
-10.0,-0.3338
-9.0,-0.3619
-8.0,-0.3757
-7.0,-0.3277
-6.0,-0.267
-5.0,-0.1583
-4.0,-0.0348
-3.0,0.0753
-2.0,0.1875
-1.0,0.2937
0.0,0.445
1.0,0.5688
2.0,0.6709
3.0,0.7706
4.0,0.8655
5.0,0.9586
6.0,1.0552
7.0,1.1515
8.0,1.2345
9.0,1.2947
10.0,1.3325
11.0,1.37
12.0,1.3758
13.0,1.354
14.0,1.3179
15.0,1.2753
16.0,1.2376
17.0,1.1967
18.0,1.1456
19.0,1.0741
20.0,1.044
21.0,1.0731
22.0,1.0961
23.0,0.7188
24.0,0.7445
25.0,0.7432
26.0,0.7542
27.0,0.7686
28.0,0.7836
29.0,0.7852
30.0,0.7941
