Alpha,Cl
-25.0,-0.7776
-24.0,-0.7435
-23.0,-0.7088
-22.0,-0.3891
-21.0,-0.3658
-20.0,-0.3442
-19.0,-0.3244
-17.0,-0.5141
-16.0,-0.4796
-15.0,-0.4498
-13.0,-0.2393
-12.0,-0.4028
-9.0,-0.466
-8.0,-0.4107
-7.0,-0.352
-6.0,-0.2524
-5.0,-0.1482
-4.0,-0.0416
-3.0,0.0675
-2.0,0.1777
-1.0,0.286
0.0,0.3925
1.0,0.4946
2.0,0.648
3.0,0.7442
4.0,0.8345
5.0,0.9317
6.0,1.0321
7.0,1.1317
8.0,1.2209
9.0,1.2953
11.0,1.4013
12.0,1.4396
13.0,1.4697
14.0,1.4784
15.0,1.4493
16.0,1.3939
17.0,1.3683
18.0,1.3354
19.0,1.3032
20.0,1.2744
21.0,1.246
22.0,1.2119
23.0,0.7316
24.0,0.7194
25.0,0.7299
26.0,0.7431
27.0,0.7501
28.0,0.7584
29.0,0.7646
30.0,0.7733
