Alpha,Cd
-25.0,0.30386
-24.0,0.29222
-23.0,0.27984
-22.0,0.20246
-21.0,0.19259
-20.0,0.18332
-19.0,0.17373
-17.0,0.19576
-16.0,0.18484
-15.0,0.17159
-13.0,0.11554
-12.0,0.12356
-9.0,0.01079
-8.0,0.00471
-7.0,0.0175
-6.0,0.01365
-5.0,0.01122
-4.0,0.00974
-3.0,0.00888
-2.0,0.0084
-1.0,0.00755
0.0,0.00676
1.0,0.00586
2.0,0.0063
3.0,0.0069
4.0,0.008
5.0,0.00896
6.0,0.00981
7.0,0.01072
8.0,0.01233
9.0,0.01481
11.0,0.02124
12.0,0.02586
13.0,0.03176
14.0,0.04056
15.0,0.05512
16.0,0.07563
17.0,0.09388
18.0,0.11421
19.0,0.13514
20.0,0.1565
21.0,0.17964
22.0,0.20674
23.0,0.21705
24.0,0.24446
25.0,0.25774
26.0,0.26865
27.0,0.28441
28.0,0.29887
29.0,0.31534
30.0,0.32718
