Alpha,Cd
-25.0,0.23693
-24.0,0.22589
-23.0,0.21453
-22.0,0.20135
-21.0,0.19166
-20.0,0.18201
-19.0,0.17135
-18.0,0.16034
-17.0,0.19299
-15.0,0.03487
-14.0,0.02511
-13.0,0.02078
-12.0,0.02022
-11.0,0.02048
-10.0,0.02088
-9.0,0.01583
-8.0,0.01382
-7.0,0.0116
-6.0,0.00976
-5.0,0.00828
-4.0,0.00758
-3.0,0.00729
-2.0,0.00694
-1.0,0.00681
0.0,0.00632
1.0,0.00607
2.0,0.00535
3.0,0.00624
4.0,0.00681
5.0,0.00728
6.0,0.00801
7.0,0.00982
8.0,0.01143
9.0,0.01402
10.0,0.01567
11.0,0.01818
12.0,0.02104
13.0,0.02524
14.0,0.03162
15.0,0.04481
16.0,0.05866
17.0,0.07619
18.0,0.09886
19.0,0.1242
20.0,0.14928
21.0,0.17337
22.0,0.19716
23.0,0.2212
24.0,0.24396
25.0,0.26437
27.0,0.28871
28.0,0.30298
29.0,0.31533
30.0,0.331
