Alpha,Cd
-25.0,0.25628
-24.0,0.24238
-23.0,0.30793
-22.0,0.28886
-21.0,0.27344
-20.0,0.25761
-19.0,0.24241
-18.0,0.22584
-17.0,0.20821
-16.0,0.19032
-15.0,0.17382
-14.0,0.15706
-13.0,0.14115
-12.0,0.12362
-11.0,0.10576
-10.0,0.09067
-8.0,0.05557
-7.0,0.02864
-6.0,0.01336
-5.0,0.00907
-4.0,0.00734
-3.0,0.0067
-2.0,0.00657
-1.0,0.00655
0.0,0.00671
1.0,0.00695
2.0,0.00683
3.0,0.00635
4.0,0.00655
5.0,0.00725
6.0,0.00944
7.0,0.01106
8.0,0.01392
9.0,0.01705
10.0,0.02177
11.0,0.03098
12.0,0.04669
13.0,0.06839
14.0,0.09328
15.0,0.11931
16.0,0.14596
17.0,0.17347
18.0,0.19988
19.0,0.22597
20.0,0.25262
21.0,0.27817
22.0,0.30663
23.0,0.33027
24.0,0.35159
25.0,0.37089
26.0,0.38511
27.0,0.40309
28.0,0.41864
29.0,0.43599
30.0,0.45405
