Alpha,Cd
-23.0,0.28101
-22.0,0.26655
-21.0,0.25489
-20.0,0.24089
-19.0,0.22526
-18.0,0.20882
-17.0,0.19002
-16.0,0.1757
-15.0,0.14482
-14.0,0.13131
-13.0,0.03224
-12.0,0.01889
-11.0,0.01703
-10.0,0.01769
-9.0,0.01809
-8.0,0.01471
-7.0,0.01077
-6.0,0.00898
-5.0,0.00768
-4.0,0.00697
-3.0,0.00681
-2.0,0.00661
-1.0,0.0065
0.0,0.00638
1.0,0.0062
2.0,0.00611
3.0,0.0059
4.0,0.0064
5.0,0.00686
6.0,0.00804
7.0,0.00992
8.0,0.01207
9.0,0.01364
10.0,0.01561
11.0,0.01802
12.0,0.02174
13.0,0.02883
14.0,0.03692
15.0,0.04916
16.0,0.06663
17.0,0.08891
18.0,0.11465
19.0,0.14068
20.0,0.16647
21.0,0.19179
22.0,0.217
23.0,0.24178
24.0,0.27071
25.0,0.32504
28.0,0.30852
29.0,0.32361
30.0,0.33821
