Alpha,Cl
-25.0,-0.4556
-24.0,-0.4369
-23.0,-0.4229
-22.0,-0.3926
-21.0,-0.368
-20.0,-0.3451
-19.0,-0.329
-18.0,-0.3202
-17.0,-0.2786
-16.0,-0.2582
-15.0,-0.2484
-14.0,-0.2243
-13.0,-0.2212
-12.0,-0.2323
-11.0,-0.2384
-10.0,-0.2414
-9.0,-0.2813
-8.0,-0.2328
-7.0,-0.3734
-6.0,-0.295
-5.0,-0.2008
-4.0,-0.0653
-3.0,0.0672
-2.0,0.1813
-1.0,0.2838
0.0,0.4632
1.0,0.5657
2.0,0.6689
3.0,0.7695
4.0,0.8662
5.0,0.9612
6.0,1.0565
7.0,1.152
8.0,1.2354
9.0,1.2891
10.0,1.3245
11.0,1.3548
12.0,1.367
13.0,1.3384
15.0,1.2607
16.0,1.2308
17.0,1.1901
18.0,1.1188
19.0,1.0334
20.0,1.0469
21.0,0.7163
22.0,0.7046
23.0,0.7374
24.0,0.7292
25.0,0.7434
26.0,0.7656
27.0,0.7649
28.0,0.7749
29.0,0.7868
30.0,0.7984
