Alpha,Cl
-25.0,-0.7721
-24.0,-0.7386
-23.0,-0.7055
-22.0,-0.6723
-21.0,-0.6362
-20.0,-0.607
-19.0,-0.5704
-18.0,-0.5361
-17.0,-0.5041
-16.0,-0.2711
-15.0,-0.4542
-14.0,-0.4323
-12.0,-0.3948
-11.0,-0.3847
-10.0,-0.389
-8.0,-0.3998
-7.0,-0.3361
-6.0,-0.2403
-5.0,-0.1386
-4.0,-0.0363
-3.0,0.0708
-2.0,0.1789
-1.0,0.2843
0.0,0.3802
1.0,0.5438
2.0,0.6426
3.0,0.7389
4.0,0.8308
5.0,0.922
6.0,1.0188
7.0,1.1154
8.0,1.2083
9.0,1.2809
10.0,1.3434
11.0,1.3802
12.0,1.4202
13.0,1.4361
14.0,1.4152
15.0,1.3986
16.0,1.3794
17.0,1.3494
18.0,1.3177
19.0,1.2873
20.0,1.2586
21.0,1.2292
22.0,1.1866
23.0,1.0935
24.0,1.1204
25.0,1.1426
26.0,1.1729
27.0,1.2016
28.0,1.229
29.0,1.2543
30.0,1.283
