Alpha,Cl
-25.0,-0.4864
-24.0,-0.4618
-23.0,-0.4359
-21.0,-0.6974
-19.0,-0.6065
-18.0,-0.5637
-17.0,-0.5221
-16.0,-0.4839
-15.0,-0.4497
-14.0,-0.4224
-13.0,-0.3911
-12.0,-0.3684
-11.0,-0.3553
-10.0,-0.3289
-9.0,-0.3079
-8.0,-0.326
-6.0,-0.2914
-5.0,-0.1924
-4.0,-0.067
-3.0,0.0658
-2.0,0.1995
-1.0,0.3319
0.0,0.4621
1.0,0.5864
2.0,0.7009
3.0,0.8517
4.0,0.975
5.0,1.0995
6.0,1.2109
7.0,1.2894
9.0,1.4376
10.0,1.4919
11.0,1.4918
12.0,1.4586
13.0,1.3918
14.0,1.3186
15.0,1.2529
16.0,1.202
17.0,1.1644
18.0,1.1422
19.0,1.1386
20.0,1.1409
21.0,1.1636
22.0,1.1962
23.0,1.2326
24.0,0.7895
25.0,1.311
26.0,1.3515
27.0,1.3916
28.0,1.4304
