Alpha,Cl
-25.0,-0.7724
-24.0,-0.7386
-23.0,-0.7044
-22.0,-0.6688
-21.0,-0.6366
-20.0,-0.6075
-19.0,-0.5695
-18.0,-0.5344
-17.0,-0.5017
-16.0,-0.2815
-15.0,-0.245
-14.0,-0.2563
-13.0,-0.2303
-12.0,-0.3882
-11.0,-0.3878
-10.0,-0.3631
-8.0,-0.4561
-7.0,-0.3556
-6.0,-0.278
-5.0,-0.1601
-4.0,-0.0366
-3.0,0.0759
-2.0,0.1786
-1.0,0.2745
0.0,0.4431
1.0,0.5421
2.0,0.6406
3.0,0.7378
4.0,0.8321
5.0,0.9204
6.0,1.0109
7.0,1.1034
8.0,1.1897
9.0,1.2688
10.0,1.3197
11.0,1.3626
12.0,1.3974
13.0,1.3968
14.0,1.3841
15.0,1.348
16.0,1.3255
17.0,1.3073
18.0,1.2812
19.0,1.242
20.0,1.1746
21.0,0.7023
22.0,0.7034
23.0,0.7001
24.0,0.7231
25.0,0.7198
26.0,0.7312
27.0,0.7469
28.0,0.7572
29.0,0.7588
30.0,0.7672
