Alpha,Cd
-25.0,0.37813
-24.0,0.36241
-22.0,0.31807
-21.0,0.29977
-20.0,0.28241
-19.0,0.26777
-17.0,0.22896
-16.0,0.21248
-15.0,0.20052
-14.0,0.18023
-12.0,0.15604
-11.0,0.13669
-10.0,0.12481
-9.0,0.11982
-8.0,0.10452
-7.0,0.08836
-6.0,0.0706
-5.0,0.04825
-4.0,0.03072
-3.0,0.02156
-2.0,0.01713
-1.0,0.01442
0.0,0.01219
1.0,0.01223
2.0,0.01288
3.0,0.01429
4.0,0.01627
5.0,0.01862
6.0,0.02146
7.0,0.02531
8.0,0.03184
9.0,0.04255
10.0,0.05845
11.0,0.08119
12.0,0.10697
13.0,0.13937
14.0,0.15699
15.0,0.18343
16.0,0.20691
17.0,0.23349
18.0,0.25772
19.0,0.28201
20.0,0.30592
21.0,0.33168
22.0,0.3533
23.0,0.37432
24.0,0.39922
25.0,0.41854
26.0,0.43996
28.0,0.49036
29.0,0.51079
30.0,0.53474
