Alpha,Cl
-25.0,-0.9455
-24.0,-0.8945
-23.0,-0.843
-22.0,-0.7921
-21.0,-0.7406
-20.0,-0.6893
-19.0,-0.6377
-18.0,-0.5873
-17.0,-0.5403
-16.0,-0.4951
-15.0,-0.4502
-14.0,-0.409
-13.0,-0.3769
-12.0,-0.3422
-11.0,-0.3189
-10.0,-0.281
-9.0,-0.2579
-8.0,-0.2472
-7.0,-0.2452
-6.0,-0.2228
-5.0,-0.1875
-4.0,-0.0789
-3.0,0.0647
-2.0,0.2139
0.0,0.5008
1.0,0.6332
2.0,0.7734
3.0,0.9047
4.0,1.0676
5.0,1.2059
7.0,1.3879
8.0,1.4632
9.0,1.5495
10.0,1.588
11.0,1.5584
12.0,1.4381
13.0,1.3384
14.0,1.2598
15.0,1.1864
16.0,1.1493
17.0,1.1375
18.0,1.1464
19.0,1.1697
20.0,1.2042
21.0,1.2455
22.0,1.2901
23.0,1.3369
25.0,0.8503
26.0,0.8658
27.0,0.8816
28.0,0.8952
29.0,0.9071
30.0,0.9177
