Alpha,Cl
-25.0,-0.8272
-24.0,-0.7881
-23.0,-0.7477
-22.0,-0.7055
-21.0,-0.6679
-20.0,-0.628
-19.0,-0.5858
-18.0,-0.5455
-17.0,-0.5068
-16.0,-0.4794
-15.0,-0.443
-14.0,-0.4034
-13.0,-0.3948
-12.0,-0.3504
-11.0,-0.3517
-10.0,-0.3181
-9.0,-0.33
-8.0,-0.3467
-6.0,-0.2246
-5.0,-0.1532
-4.0,-0.0437
-3.0,0.077
-2.0,0.1958
-1.0,0.3085
0.0,0.4377
1.0,0.5918
2.0,0.6963
3.0,0.7973
4.0,0.8941
5.0,0.9924
6.0,1.093
7.0,1.1894
8.0,1.2605
9.0,1.3057
10.0,1.3373
11.0,1.3637
13.0,1.3098
14.0,1.2625
15.0,1.2195
16.0,1.1784
17.0,1.1271
18.0,1.0464
19.0,1.0475
20.0,1.068
21.0,0.7155
22.0,0.7349
23.0,0.7366
24.0,0.7643
25.0,0.7661
26.0,0.7755
27.0,0.7896
28.0,0.8076
29.0,0.8092
30.0,0.8185
